Episode: 396, Score: -48.0, Avg reward: -42.04
Episode: 397, Score: -44.0, Avg reward: -42.20
Episode: 398, Score: -38.0, Avg reward: -42.14
Episode: 399, Score: -30.0, Avg reward: -41.98
Episode: 400, Score: -46.0, Avg reward: -41.98
Episode: 401, Score: -46.0, Avg reward: -42.06
Episode: 402, Score: -44.0, Avg reward: -42.06
Episode: 403, Score: -46.0, Avg reward: -42.10
Episode: 404, Score: -30.0, Avg reward: -42.02
Episode: 405, Score: -48.0, Avg reward: -42.04
Episode: 406, Score: -40.0, Avg reward: -41.98
Episode: 407, Score: -46.0, Avg reward: -42.00
Episode: 408, Score: -46.0, Avg reward: -42.00
Episode: 409, Score: -42.0, Avg reward: -41.94
Episode: 410, Score: -46.0, Avg reward: -42.08
Episode: 411, Score: -30.0, Avg reward: -41.92
Episode: 412, Score: -42.0, Avg reward: -41.94
Episode: 413, Score: -46.0, Avg reward: -41.96
Episode: 414, Score: -44.0, Avg reward: -41.98
Episode: 415, Score: -42.0, Avg reward: -41.94
Episode: 416, Score: -48.0, Avg reward: -41.98
Episode: 417, Score: -46.0, Avg reward: -42.02
Episode: 418, Score: -40.0, Avg reward: -41.98
Episode: 419, Score: -46.0, Avg reward: -41.98
Episode: 420, Score: -30.0, Avg reward: -41.82
Episode: 421, Score: -40.0, Avg reward: -41.86
Episode: 422, Score: -44.0, Avg reward: -41.84
Episode: 423, Score: -44.0, Avg reward: -41.82
Episode: 424, Score: -40.0, Avg reward: -41.74
Episode: 425, Score: -32.0, Avg reward: -41.60
Episode: 426, Score: -46.0, Avg reward: -41.60
Episode: 427, Score: -36.0, Avg reward: -41.52
Episode: 428, Score: -48.0, Avg reward: -41.52
Episode: 429, Score: -40.0, Avg reward: -41.50
Episode: 430, Score: -44.0, Avg reward: -41.48
Episode: 431, Score: -44.0, Avg reward: -41.54
Episode: 432, Score: -38.0, Avg reward: -41.46
Episode: 433, Score: -36.0, Avg reward: -41.34
Episode: 434, Score: -28.0, Avg reward: -41.16
Episode: 435, Score: -46.0, Avg reward: -41.14
Episode: 436, Score: -44.0, Avg reward: -41.14
Episode: 437, Score: -44.0, Avg reward: -41.12
Episode: 438, Score: -46.0, Avg reward: -41.20
Episode: 439, Score: -46.0, Avg reward: -41.24
Episode: 440, Score: -44.0, Avg reward: -41.20
Episode: 441, Score: -42.0, Avg reward: -41.16
Episode: 442, Score: -32.0, Avg reward: -41.02
Episode: 443, Score: -44.0, Avg reward: -41.10
Episode: 444, Score: -34.0, Avg reward: -41.02
Episode: 445, Score: -48.0, Avg reward: -41.04
Episode: 446, Score: -36.0, Avg reward: -41.06
Episode: 447, Score: -42.0, Avg reward: -41.04
Episode: 448, Score: -46.0, Avg reward: -41.14
Episode: 449, Score: -28.0, Avg reward: -40.98
Episode: 450, Score: -48.0, Avg reward: -41.00
Episode: 451, Score: -46.0, Avg reward: -41.00
Episode: 452, Score: -26.0, Avg reward: -40.82
Episode: 453, Score: -46.0, Avg reward: -40.84
Episode: 454, Score: -2.0, Avg reward: -40.38
Episode: 455, Score: -44.0, Avg reward: -40.46
Episode: 456, Score: -30.0, Avg reward: -40.32
Episode: 457, Score: -46.0, Avg reward: -40.32
Episode: 458, Score: -42.0, Avg reward: -40.30
Episode: 459, Score: -44.0, Avg reward: -40.32
Episode: 460, Score: -44.0, Avg reward: -40.80
Episode: 461, Score: -42.0, Avg reward: -40.78
Episode: 462, Score: -32.0, Avg reward: -40.66
Episode: 463, Score: -44.0, Avg reward: -40.66
Episode: 464, Score: -46.0, Avg reward: -40.66
Episode: 465, Score: -38.0, Avg reward: -40.58
