Episode: 195, Score: -44.0, Avg reward: -43.94
Episode: 196, Score: -46.0, Avg reward: -43.94
Episode: 197, Score: -48.0, Avg reward: -44.00
Episode: 198, Score: -46.0, Avg reward: -44.06
Episode: 199, Score: -46.0, Avg reward: -44.06
Episode: 200, Score: -46.0, Avg reward: -44.10
Episode: 201, Score: -46.0, Avg reward: -44.10
Episode: 202, Score: -48.0, Avg reward: -44.10
Episode: 203, Score: -48.0, Avg reward: -44.14
Episode: 204, Score: -40.0, Avg reward: -44.10
Episode: 205, Score: -40.0, Avg reward: -44.04
Episode: 206, Score: -46.0, Avg reward: -44.04
Episode: 207, Score: -46.0, Avg reward: -44.06
Episode: 208, Score: -46.0, Avg reward: -44.06
Episode: 209, Score: -40.0, Avg reward: -43.98
Episode: 210, Score: -46.0, Avg reward: -44.02
Episode: 211, Score: -46.0, Avg reward: -44.00
Episode: 212, Score: -46.0, Avg reward: -44.02
Episode: 213, Score: -44.0, Avg reward: -44.04
Episode: 214, Score: -46.0, Avg reward: -44.06
Episode: 215, Score: -46.0, Avg reward: -44.06
Episode: 216, Score: -46.0, Avg reward: -44.06
Episode: 217, Score: -44.0, Avg reward: -44.14
Episode: 218, Score: -42.0, Avg reward: -44.08
Episode: 219, Score: -40.0, Avg reward: -44.06
Episode: 220, Score: -42.0, Avg reward: -44.02
Episode: 221, Score: -44.0, Avg reward: -44.02
Episode: 222, Score: -46.0, Avg reward: -44.02
Episode: 223, Score: -46.0, Avg reward: -44.00
Episode: 224, Score: -44.0, Avg reward: -44.06
Episode: 225, Score: -48.0, Avg reward: -44.08
Episode: 226, Score: -46.0, Avg reward: -44.06
Episode: 227, Score: -44.0, Avg reward: -44.02
Episode: 228, Score: -44.0, Avg reward: -43.98
Episode: 229, Score: -46.0, Avg reward: -44.04
Episode: 230, Score: -44.0, Avg reward: -44.02
Episode: 231, Score: -26.0, Avg reward: -43.82
Episode: 232, Score: -46.0, Avg reward: -43.84
Episode: 233, Score: -44.0, Avg reward: -43.82
Episode: 234, Score: -46.0, Avg reward: -43.84
Episode: 235, Score: -42.0, Avg reward: -43.82
Episode: 236, Score: -46.0, Avg reward: -43.84
Episode: 237, Score: -42.0, Avg reward: -43.88
Episode: 238, Score: -46.0, Avg reward: -43.88
Episode: 239, Score: -48.0, Avg reward: -43.88
Episode: 240, Score: -30.0, Avg reward: -43.70
Episode: 241, Score: -44.0, Avg reward: -43.70
Episode: 242, Score: -46.0, Avg reward: -43.70
Episode: 243, Score: -48.0, Avg reward: -43.72
Episode: 244, Score: -46.0, Avg reward: -43.76
Episode: 245, Score: -46.0, Avg reward: -43.78
Episode: 246, Score: -44.0, Avg reward: -43.82
Episode: 247, Score: -46.0, Avg reward: -43.84
Episode: 248, Score: -42.0, Avg reward: -43.84
Episode: 249, Score: -44.0, Avg reward: -43.86
Episode: 250, Score: -44.0, Avg reward: -43.86
Episode: 251, Score: -38.0, Avg reward: -43.78
Episode: 252, Score: -44.0, Avg reward: -43.76
Episode: 253, Score: -46.0, Avg reward: -43.76
Episode: 254, Score: -42.0, Avg reward: -43.82
Episode: 255, Score: -44.0, Avg reward: -43.80
Episode: 256, Score: -42.0, Avg reward: -43.76
Episode: 257, Score: -44.0, Avg reward: -43.74
Episode: 258, Score: 8.0, Avg reward: -43.20
Episode: 259, Score: -40.0, Avg reward: -43.12
Episode: 260, Score: -46.0, Avg reward: -43.10
Episode: 261, Score: -16.0, Avg reward: -42.78
Episode: 262, Score: -40.0, Avg reward: -42.74
Episode: 263, Score: -48.0, Avg reward: -42.74
Episode: 264, Score: -40.0, Avg reward: -42.66
Episode: 265, Score: -32.0, Avg reward: -42.52
Episode: 266, Score: -46.0, Avg reward: -42.56
Episode: 267, Score: -48.0, Avg reward: -42.56
Episode: 268, Score: -44.0, Avg reward: -42.52
Episode: 269, Score: -44.0, Avg reward: -42.54
Episode: 270, Score: -44.0, Avg reward: -42.50
Episode: 271, Score: -36.0, Avg reward: -42.40
Episode: 272, Score: -44.0, Avg reward: -42.40
Episode: 273, Score: -40.0, Avg reward: -42.34
Episode: 274, Score: -42.0, Avg reward: -42.30
Episode: 275, Score: -48.0, Avg reward: -42.34
Episode: 276, Score: -46.0, Avg reward: -42.38
Episode: 277, Score: -40.0, Avg reward: -42.32
Episode: 278, Score: -40.0, Avg reward: -42.28
Episode: 279, Score: -48.0, Avg reward: -42.32
Episode: 280, Score: -36.0, Avg reward: -42.22
Episode: 281, Score: -44.0, Avg reward: -42.22
Episode: 282, Score: -48.0, Avg reward: -42.26
Episode: 283, Score: -42.0, Avg reward: -42.26
Episode: 284, Score: -24.0, Avg reward: -42.04
Episode: 285, Score: -44.0, Avg reward: -42.74
Episode: 286, Score: -42.0, Avg reward: -42.68
Episode: 287, Score: -46.0, Avg reward: -42.68
Episode: 288, Score: -42.0, Avg reward: -42.66
Episode: 289, Score: -46.0, Avg reward: -42.76
Episode: 290, Score: -40.0, Avg reward: -42.76
Episode: 291, Score: -44.0, Avg reward: -42.76
Episode: 292, Score: -38.0, Avg reward: -42.68
Episode: 293, Score: -46.0, Avg reward: -42.72
Episode: 294, Score: -48.0, Avg reward: -42.76
Episode: 295, Score: -44.0, Avg reward: -42.76
Episode: 296, Score: -44.0, Avg reward: -42.74
Episode: 297, Score: -44.0, Avg reward: -42.70
Episode: 298, Score: -24.0, Avg reward: -42.48
Episode: 299, Score: -26.0, Avg reward: -42.28
Episode: 300, Score: -46.0, Avg reward: -42.28
Episode: 301, Score: -36.0, Avg reward: -42.18
Episode: 302, Score: -16.0, Avg reward: -41.86
Episode: 303, Score: -40.0, Avg reward: -41.78
Episode: 304, Score: -44.0, Avg reward: -41.82
Episode: 305, Score: -42.0, Avg reward: -41.84
Episode: 306, Score: -42.0, Avg reward: -41.80
Episode: 307, Score: -46.0, Avg reward: -41.80
Episode: 308, Score: -46.0, Avg reward: -41.80
Episode: 309, Score: -42.0, Avg reward: -41.82
Episode: 310, Score: -48.0, Avg reward: -41.84
Episode: 311, Score: -12.0, Avg reward: -41.50
Episode: 312, Score: -42.0, Avg reward: -41.46
Episode: 313, Score: -44.0, Avg reward: -41.46
Episode: 314, Score: -34.0, Avg reward: -41.34
Episode: 315, Score: -42.0, Avg reward: -41.30
Episode: 316, Score: -34.0, Avg reward: -41.18
