Episode: 204, Score: 3.0, Avg reward: 1.06
Episode: 205, Score: -1.0, Avg reward: 1.05
Episode: 206, Score: 0.0, Avg reward: 1.05
Episode: 207, Score: 0.0, Avg reward: 1.04
Episode: 208, Score: 2.0, Avg reward: 1.06
Episode: 209, Score: 0.0, Avg reward: 1.07
Episode: 210, Score: 1.0, Avg reward: 1.08
Episode: 211, Score: 0.0, Avg reward: 1.09
Episode: 212, Score: 0.0, Avg reward: 1.08
Episode: 213, Score: 1.0, Avg reward: 1.09
Episode: 214, Score: 0.0, Avg reward: 1.10
Episode: 215, Score: 0.0, Avg reward: 1.09
Episode: 216, Score: 0.0, Avg reward: 1.09
Episode: 217, Score: 0.0, Avg reward: 1.08
Episode: 218, Score: 0.0, Avg reward: 1.09
Episode: 219, Score: 1.0, Avg reward: 1.05
Episode: 220, Score: -1.0, Avg reward: 1.04
Episode: 221, Score: 1.0, Avg reward: 0.99
Episode: 222, Score: 1.0, Avg reward: 1.00
Episode: 223, Score: 0.0, Avg reward: 0.99
Episode: 224, Score: 0.0, Avg reward: 0.99
Episode: 225, Score: -1.0, Avg reward: 0.98
Episode: 226, Score: 0.0, Avg reward: 0.99
Episode: 227, Score: 1.0, Avg reward: 1.01
Episode: 228, Score: 1.0, Avg reward: 1.03
Episode: 229, Score: 0.0, Avg reward: 0.95
Episode: 230, Score: 3.0, Avg reward: 0.98
Episode: 231, Score: 8.0, Avg reward: 1.06
Episode: 232, Score: 0.0, Avg reward: 1.06
Episode: 233, Score: 1.0, Avg reward: 1.07
Episode: 234, Score: 1.0, Avg reward: 1.07
Episode: 235, Score: -1.0, Avg reward: 1.05
Episode: 236, Score: 1.0, Avg reward: 1.06
Episode: 237, Score: 2.0, Avg reward: 1.04
Episode: 238, Score: 1.0, Avg reward: 1.04
Episode: 239, Score: 1.0, Avg reward: 1.04
Episode: 240, Score: 1.0, Avg reward: 1.06
Episode: 241, Score: -1.0, Avg reward: 1.04
Episode: 242, Score: -1.0, Avg reward: 1.03
Episode: 243, Score: 7.0, Avg reward: 1.10
Episode: 244, Score: 0.0, Avg reward: 1.10
Episode: 245, Score: 0.0, Avg reward: 1.09
Episode: 246, Score: 1.0, Avg reward: 1.10
Episode: 247, Score: 1.0, Avg reward: 1.10
Episode: 248, Score: 1.0, Avg reward: 1.09
Episode: 249, Score: 1.0, Avg reward: 1.11
Episode: 250, Score: 0.0, Avg reward: 1.10
Episode: 251, Score: 1.0, Avg reward: 1.11
Episode: 252, Score: 4.0, Avg reward: 1.15
Episode: 253, Score: 0.0, Avg reward: 1.13
Episode: 254, Score: 1.0, Avg reward: 1.12
Episode: 255, Score: 2.0, Avg reward: 1.14
Episode: 256, Score: 1.0, Avg reward: 1.15
Episode: 257, Score: -1.0, Avg reward: 1.14
Episode: 258, Score: 21.0, Avg reward: 1.35
Episode: 259, Score: 0.0, Avg reward: 1.35
Episode: 260, Score: 1.0, Avg reward: 1.37
Episode: 261, Score: -1.0, Avg reward: 1.37
Episode: 262, Score: 3.0, Avg reward: 1.41
Episode: 263, Score: 0.0, Avg reward: 1.42
Episode: 264, Score: 2.0, Avg reward: 1.42
Episode: 265, Score: 0.0, Avg reward: 1.41
Episode: 266, Score: 0.0, Avg reward: 1.40
Episode: 267, Score: -1.0, Avg reward: 1.40
Episode: 268, Score: 1.0, Avg reward: 1.42
Episode: 269, Score: 0.0, Avg reward: 1.40
Episode: 270, Score: 1.0, Avg reward: 1.42
Episode: 271, Score: 0.0, Avg reward: 1.40
Episode: 272, Score: 1.0, Avg reward: 1.39
Episode: 273, Score: 3.0, Avg reward: 1.42
Episode: 274, Score: 0.0, Avg reward: 1.42
Episode: 275, Score: 0.0, Avg reward: 1.41
Episode: 276, Score: 0.0, Avg reward: 1.35
Episode: 277, Score: 2.0, Avg reward: 1.35
Episode: 278, Score: 2.0, Avg reward: 1.36
Episode: 279, Score: 2.0, Avg reward: 1.37
Episode: 280, Score: 1.0, Avg reward: 1.38
Episode: 281, Score: 1.0, Avg reward: 1.37
Episode: 282, Score: 1.0, Avg reward: 1.37
Episode: 283, Score: 0.0, Avg reward: 1.37
Episode: 284, Score: 4.0, Avg reward: 1.41
Episode: 285, Score: 1.0, Avg reward: 1.14
Episode: 286, Score: 8.0, Avg reward: 1.18
Episode: 287, Score: 0.0, Avg reward: 1.15
Episode: 288, Score: 0.0, Avg reward: 1.16
Episode: 289, Score: 0.0, Avg reward: 1.16
Episode: 290, Score: 0.0, Avg reward: 1.16
Episode: 291, Score: 0.0, Avg reward: 1.14
Episode: 292, Score: 3.0, Avg reward: 1.17
Episode: 293, Score: 0.0, Avg reward: 1.15
Episode: 294, Score: 0.0, Avg reward: 0.99
Episode: 295, Score: 0.0, Avg reward: 0.98
Episode: 296, Score: 1.0, Avg reward: 0.99
Episode: 297, Score: 14.0, Avg reward: 1.14
Episode: 298, Score: 1.0, Avg reward: 1.14
Episode: 299, Score: 0.0, Avg reward: 1.14
Episode: 300, Score: 0.0, Avg reward: 1.14
Episode: 301, Score: 0.0, Avg reward: 1.14
Episode: 302, Score: 2.0, Avg reward: 1.17
Episode: 303, Score: 2.0, Avg reward: 1.20
Episode: 304, Score: 1.0, Avg reward: 1.18
Episode: 305, Score: -1.0, Avg reward: 1.18
Episode: 306, Score: 0.0, Avg reward: 1.18
Episode: 307, Score: 11.0, Avg reward: 1.29
Episode: 308, Score: 0.0, Avg reward: 1.27
Episode: 309, Score: 0.0, Avg reward: 1.27
Episode: 310, Score: -1.0, Avg reward: 1.25
Episode: 311, Score: -1.0, Avg reward: 1.24
Episode: 312, Score: 0.0, Avg reward: 1.24
Episode: 313, Score: 0.0, Avg reward: 1.23
Episode: 314, Score: 7.0, Avg reward: 1.30
Episode: 315, Score: 2.0, Avg reward: 1.32
Episode: 316, Score: 0.0, Avg reward: 1.32
Episode: 317, Score: 1.0, Avg reward: 1.33
Episode: 318, Score: 1.0, Avg reward: 1.34
Episode: 319, Score: 2.0, Avg reward: 1.35
Episode: 320, Score: 0.0, Avg reward: 1.36
Episode: 321, Score: 0.0, Avg reward: 1.35
Episode: 322, Score: 1.0, Avg reward: 1.35
Episode: 323, Score: 8.0, Avg reward: 1.43
Episode: 324, Score: 0.0, Avg reward: 1.43
Episode: 325, Score: -1.0, Avg reward: 1.43
Episode: 326, Score: 0.0, Avg reward: 1.43
Episode: 327, Score: 0.0, Avg reward: 1.42
Episode: 328, Score: 2.0, Avg reward: 1.43
Episode: 329, Score: -1.0, Avg reward: 1.42
Episode: 330, Score: 3.0, Avg reward: 1.42
Episode: 331, Score: 0.0, Avg reward: 1.34
Episode: 332, Score: 0.0, Avg reward: 1.34
Episode: 333, Score: 0.0, Avg reward: 1.33
Episode: 334, Score: -1.0, Avg reward: 1.31
Episode: 335, Score: 0.0, Avg reward: 1.32
Episode: 336, Score: -1.0, Avg reward: 1.30
Episode: 337, Score: 1.0, Avg reward: 1.29
Episode: 338, Score: 0.0, Avg reward: 1.28
Episode: 339, Score: -1.0, Avg reward: 1.26
Episode: 340, Score: 0.0, Avg reward: 1.25
Episode: 341, Score: 1.0, Avg reward: 1.27
Episode: 342, Score: 0.0, Avg reward: 1.28
Episode: 343, Score: 1.0, Avg reward: 1.22
Episode: 344, Score: 0.0, Avg reward: 1.22
Episode: 345, Score: -1.0, Avg reward: 1.21
Episode: 346, Score: 0.0, Avg reward: 1.20
Episode: 347, Score: 1.0, Avg reward: 1.20
Episode: 348, Score: 2.0, Avg reward: 1.21
Episode: 349, Score: 0.0, Avg reward: 1.20
Episode: 350, Score: 1.0, Avg reward: 1.21
Episode: 351, Score: 0.0, Avg reward: 1.20
Episode: 352, Score: 0.0, Avg reward: 1.16
Episode: 353, Score: 1.0, Avg reward: 1.17
Episode: 354, Score: 0.0, Avg reward: 1.16
Episode: 355, Score: -1.0, Avg reward: 1.13
Episode: 356, Score: 0.0, Avg reward: 1.12
Episode: 357, Score: 1.0, Avg reward: 1.14
Episode: 358, Score: 0.0, Avg reward: 0.93
Episode: 359, Score: -1.0, Avg reward: 0.92
Episode: 360, Score: 2.0, Avg reward: 0.93
Episode: 361, Score: 21.0, Avg reward: 1.15
Episode: 362, Score: 3.0, Avg reward: 1.15
Episode: 363, Score: 1.0, Avg reward: 1.16
Episode: 364, Score: 2.0, Avg reward: 1.16
Episode: 365, Score: 1.0, Avg reward: 1.17
Episode: 366, Score: 0.0, Avg reward: 1.17
Episode: 367, Score: -1.0, Avg reward: 1.17
Episode: 368, Score: 4.0, Avg reward: 1.20
Episode: 369, Score: 7.0, Avg reward: 1.27
Episode: 370, Score: 2.0, Avg reward: 1.28
Episode: 371, Score: 9.0, Avg reward: 1.37
Episode: 372, Score: 1.0, Avg reward: 1.37
Episode: 373, Score: 1.0, Avg reward: 1.35
Episode: 374, Score: 1.0, Avg reward: 1.36
Episode: 375, Score: -1.0, Avg reward: 1.35
Episode: 376, Score: 0.0, Avg reward: 1.35
Episode: 377, Score: 26.0, Avg reward: 1.59
Episode: 378, Score: 2.0, Avg reward: 1.59
Episode: 379, Score: 0.0, Avg reward: 1.57
Episode: 380, Score: 8.0, Avg reward: 1.64
Episode: 381, Score: 1.0, Avg reward: 1.64
Episode: 382, Score: 0.0, Avg reward: 1.63
Episode: 383, Score: 4.0, Avg reward: 1.67
Episode: 384, Score: 1.0, Avg reward: 1.64
Episode: 385, Score: 2.0, Avg reward: 1.65
Episode: 386, Score: 0.0, Avg reward: 1.57
Episode: 387, Score: 1.0, Avg reward: 1.58
Episode: 388, Score: 0.0, Avg reward: 1.58
Episode: 389, Score: 8.0, Avg reward: 1.66
Episode: 390, Score: 1.0, Avg reward: 1.67
Episode: 391, Score: 0.0, Avg reward: 1.67
Episode: 392, Score: 0.0, Avg reward: 1.64
Episode: 393, Score: -1.0, Avg reward: 1.63
Episode: 394, Score: 5.0, Avg reward: 1.68
Episode: 395, Score: 2.0, Avg reward: 1.70
Episode: 396, Score: 2.0, Avg reward: 1.71
Episode: 397, Score: 1.0, Avg reward: 1.58
Episode: 398, Score: 0.0, Avg reward: 1.57
Episode: 399, Score: 1.0, Avg reward: 1.58
Episode: 400, Score: 0.0, Avg reward: 1.58
Episode: 401, Score: 0.0, Avg reward: 1.58
Episode: 402, Score: 1.0, Avg reward: 1.57
Episode: 403, Score: 3.0, Avg reward: 1.58
Episode: 404, Score: 0.0, Avg reward: 1.57
Episode: 405, Score: -1.0, Avg reward: 1.57
Episode: 406, Score: 2.0, Avg reward: 1.59
Episode: 407, Score: 0.0, Avg reward: 1.48
Episode: 408, Score: 2.0, Avg reward: 1.50
Episode: 409, Score: 2.0, Avg reward: 1.52
Episode: 410, Score: 2.0, Avg reward: 1.55
Episode: 411, Score: 0.0, Avg reward: 1.56
Episode: 412, Score: 0.0, Avg reward: 1.56
Episode: 413, Score: 2.0, Avg reward: 1.58
Episode: 414, Score: 0.0, Avg reward: 1.51
Episode: 415, Score: 0.0, Avg reward: 1.49
Episode: 416, Score: 1.0, Avg reward: 1.50
Episode: 417, Score: -1.0, Avg reward: 1.48
Episode: 418, Score: 2.0, Avg reward: 1.49
Episode: 419, Score: 2.0, Avg reward: 1.49
Episode: 420, Score: 0.0, Avg reward: 1.49
Episode: 421, Score: 7.0, Avg reward: 1.56
Episode: 422, Score: 1.0, Avg reward: 1.56
Episode: 423, Score: -1.0, Avg reward: 1.47
Episode: 424, Score: 0.0, Avg reward: 1.47
Episode: 425, Score: 1.0, Avg reward: 1.49
Episode: 426, Score: 1.0, Avg reward: 1.50
Episode: 427, Score: 12.0, Avg reward: 1.62
Episode: 428, Score: 10.0, Avg reward: 1.70
Episode: 429, Score: -1.0, Avg reward: 1.70
Episode: 430, Score: 1.0, Avg reward: 1.68
Episode: 431, Score: 1.0, Avg reward: 1.69
Episode: 432, Score: 0.0, Avg reward: 1.69
Episode: 433, Score: 2.0, Avg reward: 1.71
Episode: 434, Score: 0.0, Avg reward: 1.72
Episode: 435, Score: 1.0, Avg reward: 1.73
Episode: 436, Score: 2.0, Avg reward: 1.76
Episode: 437, Score: 4.0, Avg reward: 1.79
Episode: 438, Score: 2.0, Avg reward: 1.81
Episode: 439, Score: 0.0, Avg reward: 1.82
Episode: 440, Score: -1.0, Avg reward: 1.81
Episode: 441, Score: 0.0, Avg reward: 1.80
Episode: 442, Score: -1.0, Avg reward: 1.79
Episode: 443, Score: 1.0, Avg reward: 1.79
Episode: 444, Score: -1.0, Avg reward: 1.78
Episode: 445, Score: 4.0, Avg reward: 1.83
Episode: 446, Score: -1.0, Avg reward: 1.82
Episode: 447, Score: 2.0, Avg reward: 1.83
Episode: 448, Score: 1.0, Avg reward: 1.82
Episode: 449, Score: 0.0, Avg reward: 1.82
Episode: 450, Score: 0.0, Avg reward: 1.81
Episode: 451, Score: -1.0, Avg reward: 1.80
Episode: 452, Score: 4.0, Avg reward: 1.84
Episode: 453, Score: 0.0, Avg reward: 1.83
Episode: 454, Score: 2.0, Avg reward: 1.85
Episode: 455, Score: 1.0, Avg reward: 1.87
Episode: 456, Score: -1.0, Avg reward: 1.86
Episode: 457, Score: 0.0, Avg reward: 1.85
Episode: 458, Score: 1.0, Avg reward: 1.86
Episode: 459, Score: 3.0, Avg reward: 1.90
Episode: 460, Score: 1.0, Avg reward: 1.89
Episode: 461, Score: 0.0, Avg reward: 1.68
Episode: 462, Score: -1.0, Avg reward: 1.64
Episode: 463, Score: 2.0, Avg reward: 1.65
Episode: 464, Score: 7.0, Avg reward: 1.70
Episode: 465, Score: 0.0, Avg reward: 1.69
Episode: 466, Score: 4.0, Avg reward: 1.73
Episode: 467, Score: 2.0, Avg reward: 1.76
Episode: 468, Score: 2.0, Avg reward: 1.74
Episode: 469, Score: 2.0, Avg reward: 1.69
Episode: 470, Score: 0.0, Avg reward: 1.67
Episode: 471, Score: 0.0, Avg reward: 1.58
Episode: 472, Score: 16.0, Avg reward: 1.73
Episode: 473, Score: -1.0, Avg reward: 1.71
Episode: 474, Score: 0.0, Avg reward: 1.70
Episode: 475, Score: 6.0, Avg reward: 1.77
Episode: 476, Score: 2.0, Avg reward: 1.79
Episode: 477, Score: 0.0, Avg reward: 1.53
Episode: 478, Score: -1.0, Avg reward: 1.50
Episode: 479, Score: 0.0, Avg reward: 1.50
Episode: 480, Score: 0.0, Avg reward: 1.42
Episode: 481, Score: 1.0, Avg reward: 1.42
Episode: 482, Score: -1.0, Avg reward: 1.41
Episode: 483, Score: 0.0, Avg reward: 1.37
Episode: 484, Score: 0.0, Avg reward: 1.36
